2647,,Rufus King Park,Public,Jamaica Ave & 153 St & 89 Ave & 150 St,park hours,,
2646,,Roy Wilkins Recreation Center,Public,se of fence running from 118th Rd to hospital,park hours,,
2645,,Rochdale Park,Public,Guy Brewer Blvd & 134 Ave,park hours,no,
2644,,Reiff Playground,Public,Fresh Pond Rd & 63 St & 59 Dr,park hours,,
2643,,Real Good Park,Public,"LIE, 99 St & 62 Ave",park hours,yes,
2642,,Rainey Park,Public,Vernon Blvd & 33 Rd & 34 St & East River,park hours,,
2641,,Queensbridge Park,Public,21 St & Bridge Plaza & Vernon Blvd & East River,park hours,,
2640,,Queens Farm Museum,Public,Little Neck Pkwy & Commonwealth Blvd & south of Gr...,park hours,no,
2639,,Playground 75,Public,106 St & 75 Ave,park hours,,
2638,,Playground 90,Public,Northern Blvd & 90 St,park hours,no,
2637,,Playground 62,Public,Yellowstone Blvd between 62 Ave & 62 Rd,park hours,,
2636,,Painters Playground,Public,Alderton St from Dieterle to Elwell Crescents,park hours,,
2635,,Nicholas Demutis Playground,Public,102 St & Liberty Ave,park hours,no,
2634,,North Rochdale Playground,Public,Baisley Blvd & Bedell St,park hours,no,
2633,,Noonan Playground,Public,Greenpoint & 47th Ave & 43 St,park hours,no,
2632,,Nautilus Playground,Public,Merrick & Baisley Blvd,park hours,no,
2631,,Murray Playground,Public,21 St & 45 Ave & 11 St & 45 Rd,park hours,,
2630,,Montbellier Park,Public,Springfield Blvd & 139 Ave,park hours,no,
2629,,Michaelis-Bayswater Park,Public,Beach Channel Dr & B 32 St & Dwight Ave & Norton A...,park hours,yes,
2628,,Maurice Park,Public,Mauric Ave & Borden Ave & 54 Ave & 63 ...,park hours,,
2627,,Maurice A. Fitzgerald Playground,Public,Atlantic Ave & 106 St,park hours,no,
2626,,Marie Curie Park,Public,211 & Oceana St & 46 Ave,park hours,no,
2625,,Marconi Park,Public,109Ave & 155 St,park hours,no,
2624,,Maple Playground,Public,Kissena Blvd & Maple Ave,park hours,yes,
2623,,Louis Pasteur Park,Public,248 St & 51 Ave,park hours,no,
2622,,Louis Armstrong Playground,Public,37 Ave between 112 & 113 St,park hours,,
2621,,Lou Lodati Playground,Public,Skillman Ave & 43 St,park hours,no,
2620,,Lost Battalion Hall,Public,Queens Blvd beetween 62 Ave & 62 Rd,park hours,,
2619,,Loring Field,Public,north Conduit & 149 Ave,park hours,no,
2718,,Mini,Public,,,,
2717,,Brooklyn Roadting Compny,Coffee Shop,"45 Washington St, Brooklyn, NY 11201, USA",7am-7pm,,
2716,,Brooklyn Roasting Company,Coffee Shop,"25 Jay St, Brooklyn, NY 11201, USA",7am - 7pm,,
2715,,Chelsea Park,Public,,9:00-20:00,Unknown,
2714,,125th street subway,Other,,Closed 12am to 6am,,
2713,,Famiglia Pizza,Fast Food,757 Broadway(At 8th Street),10AM-11:30PM(2:30 AM Friday/Saturday),Unknown,
2712,,vandana,Public,3 Allen st,1,,
2711,,Morton Williams,Public,"908 Second Avenue, New York, NY",24 Hours,Unknown,
2710,,McDonalds,Public,,,Yes,CH
2709,,McDonalds,Public,,,Yes,CH
2708,,Wendys,Fast Food,,,Yes,CH
2707,,Wendys,Fast Food,,,Yes,CH
2706,,New Utrecht Avenue station,Public,,daytime,No,
2705,,New Utrecht Avenue station,Public,,daytime,No,
2704,,McDonald's,Fast Food,34th street and 10th avenue ny ny,24 hours,No,
2703,,High Line Bathroom at Gansevoort St,Public,,7:00am - 11:00pm,Yes,
2702,,High Line Bathroom at W 16th St,Public,,7:00am - 11:00pm,Yes,Nick Losi
2701,,Indikitch,Fast Food,25 west 23 Street,,Yes,
2700,,Home Depot,Other,40 west 23 street,,Yes,
2699,,Lowe's,Other,"Lowe's Home Improvement 118 2nd Avenue, Brookl...",,Yes,
